iter	Passed	Remaining
749	4222	1407
750	4227	1401
751	4231	1395
752	4236	1389
753	4241	1383
754	4249	1378
755	4253	1372
756	4258	1366
757	4265	1361
758	4269	1355
759	4274	1349
760	4278	1343
761	4283	1337
762	4288	1331
763	4292	1325
764	4297	1320
765	4301	1314
766	4306	1308
767	4310	1302
768	4315	1296
769	4320	1290
770	4325	1284
771	4330	1279
772	4335	1273
773	4342	1267
774	4350	1262
775	4354	1256
776	4359	1251
777	4364	1245
778	4368	1239
779	4373	1233
780	4377	1227
781	4382	1221
782	4389	1216
783	4393	1210
784	4398	1204
785	4403	1198
786	4407	1192
787	4412	1187
788	4416	1181
789	4423	1175
790	4428	1170
791	4432	1164
792	4439	1158
793	4443	1152
794	4449	1147
795	4456	1142
796	4461	1136
797	4466	1130
798	4471	1124
799	4478	1119
800	4484	1114
801	4491	1108
802	4497	1103
803	4504	1098
804	4512	1093
805	4517	1087
806	4522	1081
807	4528	1076
808	4533	1070
809	4538	1064
810	4545	1059
811	4550	1053
812	4555	1047
813	4560	1042
814	4564	1036
815	4569	1030
816	4573	1024
817	4578	1018
818	4582	1012
819	4587	1007
820	4592	1001
821	4596	995
822	4601	989
823	4605	983
824	4610	977
825	4614	972
826	4619	966
827	4624	960
828	4628	954
829	4633	948
830	4637	943
831	4644	937
832	4648	932
833	4653	926
834	4657	920
835	4662	914
836	4666	908
837	4671	903
838	4675	897
839	4680	891
840	4685	885
841	4689	879
842	4694	874
843	4698	868
844	4703	862
845	4707	856
846	4712	851
847	4717	845
848	4721	839
849	4726	834
850	4730	828
851	4735	822
852	4739	816
853	4744	811
854	4748	805
855	4755	799
856	4760	794
857	4765	788
858	4769	782
859	4774	777
860	4779	771
861	4786	766
862	4793	760
863	4800	755
864	4805	749
865	4809	744
866	4814	738
867	4818	732
868	4823	727
869	4827	721
870	4832	715
871	4837	710
872	4841	704
873	4848	698
874	4853	693
875	4857	687
876	4864	682
877	4869	676
878	4874	670
879	4878	665
880	4882	659
881	4887	653
882	4892	648
883	4899	642
884	4903	637
885	4907	631
886	4912	625
887	4917	620
888	4921	614
889	4925	608
890	4930	603
891	4934	597
892	4942	592
893	4948	586
894	4953	581
895	4959	575
896	4964	570
897	4969	564
898	4975	559
899	4983	553
900	4989	548
901	4994	542
902	5000	537
903	5006	531
904	5014	526
905	5019	520
906	5026	515
907	5031	509
908	5037	504
909	5043	498
910	5049	493
911	5055	487
912	5061	482
913	5067	476
914	5073	471
915	5078	465
916	5085	460
917	5091	454
918	5099	449
919	5105	443
920	5110	438
921	5116	432
922	5123	427
923	5128	421
924	5134	416
925	5141	410
926	5149	405
927	5156	400
928	5166	394
929	5171	389
930	5178	383
931	5184	378
932	5192	372
933	5198	367
934	5206	361
935	5214	356
936	5219	350
937	5225	345
938	5231	339
939	5238	334
940	5243	328
941	5252	323
942	5259	317
943	5265	312
944	5271	306
945	5276	301
946	5281	295
947	5285	289
948	5290	284
949	5295	278
950	5302	273
951	5306	267
952	5313	262
953	5318	256
954	5322	250
955	5327	245
956	5331	239
957	5336	233
958	5342	228
959	5347	222
960	5351	217
961	5356	211
962	5363	206
963	5367	200
964	5374	194
965	5378	189
966	5385	183
967	5392	178
968	5397	172
969	5402	167
970	5407	161
971	5412	155
972	5417	150
973	5422	144
974	5426	139
975	5430	133
976	5435	127
977	5439	122
978	5444	116
979	5448	111
980	5453	105
981	5460	100
982	5465	94
983	5469	88
984	5474	83
985	5478	77
986	5483	72
987	5487	66
988	5492	61
989	5496	55
990	5501	49
991	5505	44
992	5510	38
993	5514	33
994	5519	27
995	5523	22
996	5528	16
997	5533	11
998	5537	5
999	5542	0
