iter	MultiClassOneVsAll
485	0.4501218925
486	0.4500997417
487	0.4500707325
488	0.450067673
489	0.4500628864
490	0.4500259651
491	0.4499992169
492	0.4499729735
493	0.4499712374
494	0.4499207216
495	0.4498978355
496	0.4498901778
497	0.4498859787
498	0.4498815794
499	0.4498597581
500	0.4498241191
501	0.4497803251
502	0.4497352045
503	0.4497147484
504	0.449713837
505	0.4497062186
506	0.4496874332
507	0.4496827896
508	0.4496792663
509	0.4496527159
510	0.449628958
511	0.4496031047
512	0.4495919758
513	0.4495752888
514	0.4495693186
515	0.4495517832
516	0.4495041018
517	0.4494938528
518	0.4494872695
519	0.4494491348
520	0.4494169123
521	0.4494130174
522	0.4493980107
523	0.4493750716
524	0.4493453985
525	0.4493151092
526	0.4493098817
527	0.4493025118
528	0.449249596
529	0.4492139487
530	0.4491956702
531	0.4491675325
532	0.4491530709
533	0.4491207399
534	0.449112701
535	0.4490585663
536	0.4490517271
537	0.4490319672
538	0.4490274966
539	0.4489926629
540	0.4489769039
541	0.4489556796
542	0.4489505485
543	0.4489252355
544	0.4489136383
545	0.4488982167
546	0.4488913022
547	0.4488828592
548	0.448857487
549	0.4488510082
550	0.4488101076
551	0.4487963685
552	0.4487835541
553	0.4487765936
554	0.4487755622
555	0.4487732176
556	0.4487604048
557	0.4487502377
558	0.4487454958
559	0.4487254644
560	0.4487079756
561	0.4487025038
562	0.4486671714
563	0.4486629718
564	0.448636266
565	0.448616412
566	0.4485963838
567	0.4485881112
568	0.4485689863
569	0.4485659864
570	0.44855764
571	0.4485357285
572	0.4485180006
573	0.4485031466
574	0.448470357
575	0.4484622653
576	0.4484414047
577	0.4484164162
578	0.4484055754
579	0.4483956309
580	0.4483734435
581	0.4483645165
582	0.4483121895
583	0.4482956667
584	0.4482824051
585	0.4482789298
586	0.4482750458
587	0.4482627392
588	0.4482438475
589	0.4482055724
590	0.4481974099
591	0.4481703224
592	0.4481374356
593	0.4481268785
594	0.4481169498
595	0.4481116824
596	0.448101141
597	0.448089256
598	0.4480756331
599	0.44805153
600	0.4480439553
601	0.4480288803
602	0.4480098725
603	0.4479898021
604	0.4479835786
605	0.4479780593
606	0.4479456114
607	0.4479421475
608	0.4479333702
609	0.4479300869
610	0.4479232448
611	0.4479080434
612	0.4478937797
613	0.4478502026
614	0.4478294457
615	0.4478284814
616	0.4478084932
617	0.4477883167
618	0.4477577169
619	0.4477525836
620	0.4477466503
621	0.4476957099
622	0.4476852261
623	0.4476772909
624	0.4476658719
625	0.4476433088
626	0.4476349699
627	0.4476298633
628	0.4476079928
629	0.4476028327
630	0.4475995877
631	0.4475959268
632	0.4475544508
633	0.4475449755
634	0.4475382118
635	0.4473967178
636	0.4473869303
637	0.4473793547
638	0.4473785409
639	0.4473739925
640	0.4473656074
641	0.4473634713
642	0.447338182
643	0.4473362623
644	0.4473022726
645	0.4472961109
646	0.4472775803
647	0.4472728037
648	0.4472697832
649	0.4472553464
650	0.4472383468
651	0.4472348006
652	0.447221745
653	0.4471927466
654	0.447185197
655	0.4471839627
656	0.4471799785
657	0.4471784133
658	0.4471753038
659	0.447147747
660	0.4471377364
661	0.4471153027
662	0.4471075743
663	0.4470910824
664	0.4470740275
665	0.4470231024
666	0.4470056256
667	0.4470019183
668	0.446991128
669	0.4469849481
670	0.4469575348
671	0.446949205
672	0.4469267566
673	0.4469096122
674	0.4469073337
675	0.446886715
676	0.4468849777
677	0.4468793357
678	0.4468757097
679	0.4468706845
680	0.4468679525
681	0.4468481329
682	0.4468439218
683	0.4468264879
684	0.4467877883
685	0.4467702749
686	0.446765939
687	0.4467559327
688	0.4467422042
689	0.4467384804
690	0.4467363622
691	0.446731679
692	0.4467273431
693	0.4467035907
694	0.446701214
695	0.4466975812
696	0.446688556
697	0.4466819912
698	0.4466774635
699	0.4466656991
700	0.4466530805
701	0.4466231619
702	0.4466075832
703	0.4465720909
704	0.446563742
705	0.4465584773
706	0.4465539261
707	0.4465157396
708	0.4465062566
709	0.4465006623
710	0.4464914876
711	0.4464818748
712	0.4464766558
713	0.4464575351
714	0.4464494704
715	0.446445421
716	0.4464328574
717	0.446419986
718	0.4464114378
719	0.4464084087
720	0.4463886482
721	0.4463798213
722	0.4463732084
723	0.4463669924
724	0.4463642032
725	0.4463493733
726	0.4463331091
727	0.4463301292
728	0.4463228132
729	0.4463198369
730	0.4463110985
731	0.4462950722
732	0.4462909855
733	0.4462892088
734	0.446283894
735	0.4462766294
736	0.4462706909
737	0.4462696682
738	0.4462530449
739	0.4462393004
740	0.4462327717
741	0.4462240907
742	0.4462196031
743	0.4462169881
744	0.4462159096
745	0.4462109765
746	0.4462069522
747	0.4461984456
748	0.446193221
749	0.4461892891
750	0.4461821433
751	0.4461719821
752	0.4461665269
753	0.4461651189
754	0.4461581337
755	0.4461513327
756	0.446143804
757	0.4461010602
758	0.4460970466
759	0.4460198919
760	0.4460030901
761	0.4459970851
762	0.4459955426
763	0.4459898959
764	0.4459739872
765	0.4459677101
766	0.4459622802
767	0.4459594758
768	0.4459514037
769	0.4459425921
770	0.4459360627
771	0.4459295609
772	0.4459277559
773	0.4459220316
774	0.4459164102
775	0.4459145607
776	0.445902578
777	0.445887882
778	0.4458707281
779	0.4458542541
780	0.4458424493
781	0.4458267577
782	0.4458197104
783	0.4458100523
784	0.4458067078
785	0.445791814
786	0.4457900862
787	0.4457807731
788	0.4457687508
789	0.4457566517
790	0.4457514994
791	0.4457433643
792	0.4457336263
793	0.4457326036
794	0.4457277941
795	0.4457195682
796	0.4457162129
797	0.4457119252
798	0.4456873214
799	0.4456803688
800	0.4456694853
801	0.4456629943
802	0.4456614002
803	0.4456538985
804	0.44563852
805	0.4456319096
806	0.4456270603
807	0.4456126231
808	0.4456072422
809	0.4456047967
810	0.4455940591
811	0.4455801742
812	0.445479646
813	0.4454766278
814	0.445465645
815	0.4454538582
816	0.4454401982
817	0.4454399931
818	0.4454309785
819	0.4454296128
820	0.4454145511
821	0.4454035187
822	0.4453909297
823	0.4453878939
824	0.4453823636
825	0.4453774936
826	0.4453707621
827	0.4453562521
828	0.4453513797
829	0.44534816
830	0.4453271679
831	0.4452992225
832	0.4452979491
833	0.4452846467
834	0.4452800951
835	0.4452779609
836	0.4452578329
837	0.4452538726
838	0.445247307
839	0.4452329997
840	0.4452087893
841	0.4452029828
842	0.4451980684
843	0.4451945256
844	0.4451869562
845	0.4451745125
846	0.4451461203
847	0.4451399235
848	0.4451134766
849	0.4451123778
850	0.4451071605
851	0.4451026117
852	0.4450989189
853	0.4450920758
854	0.4450899513
855	0.4449494793
856	0.4449460262
857	0.4449434545
858	0.4449417889
859	0.4449396223
860	0.444936353
861	0.4449197427
862	0.4449047824
863	0.4448994687
864	0.4448919736
865	0.4448792822
866	0.4448712169
867	0.444867256
868	0.4448632179
869	0.4448561434
870	0.4448480665
871	0.4447261255
872	0.4447247604
873	0.4446987603
874	0.4446929256
875	0.4446855086
876	0.4446803864
877	0.4446696178
878	0.4446639184
879	0.4446611847
880	0.4446586289
881	0.4446517111
882	0.4446293621
883	0.4446127197
884	0.4446081492
885	0.4446038138
886	0.4445569007
887	0.4445455481
888	0.4445410107
889	0.4445402726
890	0.4445253645
891	0.4445218694
892	0.4445095001
893	0.4445041503
894	0.4445016032
895	0.4444935226
896	0.4444893941
897	0.4444884894
898	0.4444857189
899	0.4444788811
900	0.4444752956
901	0.4444584077
902	0.4444548523
903	0.4444498793
904	0.4444433997
905	0.4444396079
906	0.4444359779
907	0.4444224259
908	0.4444167998
909	0.4444007869
910	0.4443943077
911	0.4443915997
912	0.4443436414
913	0.4443436378
914	0.4443410134
915	0.4443401306
916	0.4443319861
917	0.4443272871
918	0.4443224663
919	0.4443173488
920	0.4442963795
921	0.4442925611
922	0.4442725851
923	0.4442702019
924	0.4442680722
925	0.4442579507
926	0.4442506477
927	0.4442483892
928	0.4442206377
929	0.4442199302
930	0.4442194242
931	0.444208096
932	0.4442043604
933	0.4442012008
934	0.4441977655
935	0.4441917796
936	0.444186732
937	0.4441844165
938	0.4441825381
939	0.4441773549
940	0.4441683882
941	0.4441608499
942	0.444158648
943	0.4441420618
944	0.4441365314
945	0.4441289092
946	0.4441245106
947	0.4441115192
948	0.444108405
949	0.4441061029
950	0.4440703995
951	0.4440674178
952	0.4440629819
953	0.4440480399
954	0.4440379922
955	0.4440305375
956	0.4440264541
957	0.4439916464
958	0.443977464
959	0.4439742541
960	0.44396648
961	0.4439623819
962	0.443948404
963	0.4439434033
964	0.4439385832
965	0.443929365
966	0.4439237868
967	0.4438919276
968	0.4438868922
969	0.4438756196
970	0.4438535557
971	0.4438410972
972	0.4438278163
973	0.4438238958
974	0.4438221747
975	0.4438071598
976	0.4438001257
977	0.4437995176
978	0.4437941831
979	0.4437839296
980	0.4437782183
981	0.4437585218
982	0.4437558854
983	0.4437517829
984	0.4437463949
985	0.4437423084
986	0.4437332098
987	0.4437313179
988	0.4437147064
989	0.4437102695
990	0.4437087762
991	0.4437063571
992	0.4437043249
993	0.4437023789
994	0.4436981039
995	0.443689369
996	0.4436806269
997	0.4436792321
998	0.4436773396
999	0.4436706257
